category,model,make,year,count
1 - Category 1 Truck,Acura,RDX 2WD,2010,15
1 - Category 1 Truck,Acura,RDX 4WD,2007,1
1 - Category 1 Truck,Acura,RDX 4WD,2008,2
1 - Category 1 Truck,Acura,RDX 4WD,2009,136
1 - Category 1 Truck,Acura,RDX 4WD,2010,30
1 - Category 1 Truck,Acura,TSX,2009,14
1 - Category 1 Truck,Acura,TSX,2010,14
1 - Category 1 Truck,Audi,A3,2009,2
1 - Category 1 Truck,Audi,A3 Quattro,2009,1
1 - Category 1 Truck,Audi,A4,2009,3
1 - Category 1 Truck,Audi,A4,2010,1
1 - Category 1 Truck,Audi,A4 Cabriolet,2009,2
1 - Category 1 Truck,Audi,A4 Quattro,2009,2
1 - Category 1 Truck,Audi,A4 Quattro,2010,1
1 - Category 1 Truck,Audi,A5 Quattro,2010,1
1 - Category 1 Truck,Audi,Q5,2009,46
1 - Category 1 Truck,Audi,Q5,2010,191
1 - Category 1 Truck,Audi,UNLISTED,2010,1
1 - Category 1 Truck,BMW,128i,2009,2
1 - Category 1 Truck,BMW,328ci xDrive,2009,1
1 - Category 1 Truck,BMW,328cxi,2007,1
1 - Category 1 Truck,BMW,328cxi,2008,1
1 - Category 1 Truck,BMW,328i,2009,6
1 - Category 1 Truck,BMW,328i xDrive,2009,1
1 - Category 1 Truck,BMW,335d,2009,2
1 - Category 1 Truck,BMW,X3 3.0i,2007,1
1 - Category 1 Truck,BMW,X3 3.0si,2008,5
1 - Category 1 Truck,BMW,X3 xDrive 30i,2009,126
1 - Category 1 Truck,BMW,Z4 3.0i,2008,1
1 - Category 1 Truck,Buick,Enclave AWD,2008,3
1 - Category 1 Truck,Buick,Enclave AWD,2009,256
1 - Category 1 Truck,Buick,Enclave AWD,2010,81
1 - Category 1 Truck,Buick,Enclave FWD,2008,11
1 - Category 1 Truck,Buick,Enclave FWD,2009,512
1 - Category 1 Truck,Buick,Enclave FWD,2010,255
1 - Category 1 Truck,Cadillac,SRX 2WD,2009,32
1 - Category 1 Truck,Cadillac,SRX 2WD,2010,9
1 - Category 1 Truck,Cadillac,SRX AWD,2010,2
1 - Category 1 Truck,Chevrolet,Aveo,2009,61
1 - Category 1 Truck,Chevrolet,Aveo 5,2007,1
1 - Category 1 Truck,Chevrolet,Aveo 5,2008,1
1 - Category 1 Truck,Chevrolet,Aveo 5,2009,109
1 - Category 1 Truck,Chevrolet,Aveo 5,2010,1
1 - Category 1 Truck,Chevrolet,Camaro,2010,5
1 - Category 1 Truck,Chevrolet,Cobalt,2007,1
1 - Category 1 Truck,Chevrolet,Cobalt,2008,1
1 - Category 1 Truck,Chevrolet,Cobalt,2009,195
1 - Category 1 Truck,Chevrolet,Cobalt Sedan,2010,2
1 - Category 1 Truck,Chevrolet,Cobalt XFE,2008,1
1 - Category 1 Truck,Chevrolet,Cobalt XFE,2009,33
1 - Category 1 Truck,Chevrolet,Cobalt XFE Coupe,2010,1
1 - Category 1 Truck,Chevrolet,Colorado 2WD,2007,4
1 - Category 1 Truck,Chevrolet,Colorado 2WD,2008,42
1 - Category 1 Truck,Chevrolet,Colorado 2WD,2009,3206
1 - Category 1 Truck,Chevrolet,Colorado 2WD,2010,4
1 - Category 1 Truck,Chevrolet,Colorado 4WD,2008,26
1 - Category 1 Truck,Chevrolet,Colorado 4WD,2009,660
1 - Category 1 Truck,Chevrolet,Colorado 4WD,2010,6
1 - Category 1 Truck,Chevrolet,Colorado Cab Chassis inc 4WD,2009,44
1 - Category 1 Truck,Chevrolet,Colorado Crew Cab 2WD,2007,1
1 - Category 1 Truck,Chevrolet,Colorado Crew Cab 2WD,2008,4
1 - Category 1 Truck,Chevrolet,Colorado Crew Cab 2WD,2009,580
1 - Category 1 Truck,Chevrolet,Colorado Crew Cab 4WD,2008,1
1 - Category 1 Truck,Chevrolet,Colorado Crew Cab 4WD,2009,465
1 - Category 1 Truck,Chevrolet,Colorado Crew Cab 4WD,2010,2
1 - Category 1 Truck,Chevrolet,Equinox AWD,2008,12
1 - Category 1 Truck,Chevrolet,Equinox AWD,2009,1137
1 - Category 1 Truck,Chevrolet,Equinox AWD,2010,2576
1 - Category 1 Truck,Chevrolet,Equinox FWD,2007,5
1 - Category 1 Truck,Chevrolet,Equinox FWD,2008,7
1 - Category 1 Truck,Chevrolet,Equinox FWD,2009,1701
1 - Category 1 Truck,Chevrolet,Equinox FWD,2010,4367
1 - Category 1 Truck,Chevrolet,Express 1500 2WD Cargo,2010,1
1 - Category 1 Truck,Chevrolet,HHR FWD,2007,6
1 - Category 1 Truck,Chevrolet,HHR FWD,2008,104
1 - Category 1 Truck,Chevrolet,HHR FWD,2009,7578
1 - Category 1 Truck,Chevrolet,HHR FWD,2010,119
1 - Category 1 Truck,Chevrolet,HHR Panel FWD,2008,17
1 - Category 1 Truck,Chevrolet,HHR Panel FWD,2009,578
1 - Category 1 Truck,Chevrolet,HHR Panel FWD,2010,7
1 - Category 1 Truck,Chevrolet,Impala,2008,1
1 - Category 1 Truck,Chevrolet,Impala,2009,63
1 - Category 1 Truck,Chevrolet,Malibu,2008,2
1 - Category 1 Truck,Chevrolet,Malibu,2009,137
1 - Category 1 Truck,Chevrolet,Malibu,2010,9
1 - Category 1 Truck,Chevrolet,Malibu Hybrid,2008,3
1 - Category 1 Truck,Chevrolet,Malibu Hybrid,2009,6
1 - Category 1 Truck,Chevrolet,Silverado 15 Hybrid 2WD,2009,1
1 - Category 1 Truck,Chevrolet,Silverado 15 Hybrid 4WD,2009,3
1 - Category 1 Truck,Chevrolet,Silverado C15 2WD,2007,4
1 - Category 1 Truck,Chevrolet,Silverado C15 2WD,2008,1
1 - Category 1 Truck,Chevrolet,Silverado C15 2WD,2009,146
1 - Category 1 Truck,Chevrolet,Silverado C15 XFE 2WD,2009,4
1 - Category 1 Truck,Chevrolet,Silverado K15 4WD,2009,97
1 - Category 1 Truck,Chevrolet,Suburban 1500 2WD,2009,1
1 - Category 1 Truck,Chevrolet,Tahoe Hybrid 4WD,2009,1
1 - Category 1 Truck,Chevrolet,Traverse AWD,2009,1837
1 - Category 1 Truck,Chevrolet,Traverse AWD,2010,96
1 - Category 1 Truck,Chevrolet,Traverse FWD,2009,2979
1 - Category 1 Truck,Chevrolet,Traverse FWD,2010,110
1 - Category 1 Truck,Chevrolet,UNLISTED,2009,5
1 - Category 1 Truck,Chevrolet,Uplander FWD,2008,24
1 - Category 1 Truck,Chevrolet,Van 1500 2WD Cargo,2009,10
1 - Category 1 Truck,Chevrolet,Van 1500/2500 2WD,2008,2
1 - Category 1 Truck,Chrysler,Aspen HEV,2009,12
1 - Category 1 Truck,Chrysler,PT Cruiser,2007,6
1 - Category 1 Truck,Chrysler,PT Cruiser,2008,265
1 - Category 1 Truck,Chrysler,PT Cruiser,2009,3044
1 - Category 1 Truck,Chrysler,PT Cruiser Convertible,2007,1
1 - Category 1 Truck,Chrysler,PT Cruiser Convertible,2008,60
1 - Category 1 Truck,Chrysler,Pacifica FWD,2008,10
1 - Category 1 Truck,Chrysler,Sebring,2008,4
1 - Category 1 Truck,Chrysler,Sebring,2009,50
1 - Category 1 Truck,Chrysler,Sebring Convertible,2009,7
1 - Category 1 Truck,Chrysler,Town and Country,2008,17
1 - Category 1 Truck,Chrysler,Town and Country,2009,3038
1 - Category 1 Truck,Chrysler,Town and Country,2010,83
1 - Category 1 Truck,Chrysler,Town and Country/Voyager/Grand Voy,2008,31
1 - Category 1 Truck,Chrysler,UNLISTED,2009,2
1 - Category 1 Truck,Dodge,Avenger,2009,93
1 - Category 1 Truck,Dodge,Avenger,2010,1
1 - Category 1 Truck,Dodge,Caliber,2007,1
1 - Category 1 Truck,Dodge,Caliber,2008,13
1 - Category 1 Truck,Dodge,Caliber,2009,206
1 - Category 1 Truck,Dodge,Caravan/Grand Caravan 2WD,2007,3
1 - Category 1 Truck,Dodge,Caravan/Grand Caravan 2WD,2008,67
1 - Category 1 Truck,Dodge,Caravan/Grand Caravan FWD,2009,3475
1 - Category 1 Truck,Dodge,Dakota Pickup 2WD,2008,1
1 - Category 1 Truck,Dodge,Dakota Pickup 2WD,2009,17
1 - Category 1 Truck,Dodge,Dakota Pickup 4WD,2008,1
1 - Category 1 Truck,Dodge,Dakota Pickup 4WD,2009,1
1 - Category 1 Truck,Dodge,Durango HEV,2009,13
1 - Category 1 Truck,Dodge,Grand Caravan,2010,123
1 - Category 1 Truck,Dodge,Journey 2WD,2009,2499
1 - Category 1 Truck,Dodge,Journey 2WD,2010,82
1 - Category 1 Truck,Dodge,Journey 4WD,2009,4
1 - Category 1 Truck,Dodge,Journey 4WD,2010,5
1 - Category 1 Truck,Dodge,Magnum,2008,1
1 - Category 1 Truck,Dodge,Nitro 2WD,2007,4
1 - Category 1 Truck,Dodge,Nitro 2WD,2008,43
1 - Category 1 Truck,Dodge,Nitro 2WD,2009,350
1 - Category 1 Truck,Dodge,Nitro 2WD,2010,1
1 - Category 1 Truck,Dodge,Nitro 4WD,2008,4
1 - Category 1 Truck,Dodge,Nitro 4WD,2009,1
1 - Category 1 Truck,Dodge,Ram 1500 Pickup 2WD,2008,1
1 - Category 1 Truck,Dodge,Ram 1500 Pickup 2WD,2009,62
1 - Category 1 Truck,Dodge,Ram 1500 Pickup 2WD,2010,1
1 - Category 1 Truck,Dodge,Ram 1500 Pickup 4WD,2009,55
1 - Category 1 Truck,Ford,Edge AWD,2007,1
1 - Category 1 Truck,Ford,Edge AWD,2008,30
1 - Category 1 Truck,Ford,Edge AWD,2009,595
1 - Category 1 Truck,Ford,Edge AWD,2010,764
1 - Category 1 Truck,Ford,Edge FWD,2007,6
1 - Category 1 Truck,Ford,Edge FWD,2008,49
1 - Category 1 Truck,Ford,Edge FWD,2009,1352
1 - Category 1 Truck,Ford,Edge FWD,2010,3242
1 - Category 1 Truck,Ford,Escape 4WD,2008,10
1 - Category 1 Truck,Ford,Escape 4WD,2009,5530
1 - Category 1 Truck,Ford,Escape 4WD,2010,318
1 - Category 1 Truck,Ford,Escape 4WD FFV,2010,689
1 - Category 1 Truck,Ford,Escape FWD,2007,6
1 - Category 1 Truck,Ford,Escape FWD,2008,15
1 - Category 1 Truck,Ford,Escape FWD,2009,9977
1 - Category 1 Truck,Ford,Escape FWD,2010,1953
1 - Category 1 Truck,Ford,Escape FWD FFV,2010,976
1 - Category 1 Truck,Ford,Escape Hybrid 4WD,2008,18
1 - Category 1 Truck,Ford,Escape Hybrid 4WD,2009,604
1 - Category 1 Truck,Ford,Escape Hybrid 4WD,2010,18
1 - Category 1 Truck,Ford,Escape Hybrid FWD,2007,1
1 - Category 1 Truck,Ford,Escape Hybrid FWD,2008,6
1 - Category 1 Truck,Ford,Escape Hybrid FWD,2009,958
1 - Category 1 Truck,Ford,Escape Hybrid FWD,2010,40
1 - Category 1 Truck,Ford,Explorer 2WD,2009,1
1 - Category 1 Truck,Ford,Explorer Sport Trac 2WD,2009,2
1 - Category 1 Truck,Ford,F150 Pickup 2WD,2008,6
1 - Category 1 Truck,Ford,F150 Pickup 2WD,2009,193
1 - Category 1 Truck,Ford,F150 Pickup 2WD,2010,4
1 - Category 1 Truck,Ford,F150 Pickup 4WD,2009,75
1 - Category 1 Truck,Ford,F150 Pickup 4WD,2010,8
1 - Category 1 Truck,Ford,F150 Pickup FFV 2WD,2009,14
1 - Category 1 Truck,Ford,F150 Pickup FFV 2WD,2010,3
1 - Category 1 Truck,Ford,F150 Pickup FFV 4WD,2009,57
1 - Category 1 Truck,Ford,F150 Pickup FFV 4WD,2010,7
1 - Category 1 Truck,Ford,F150 SFE 2WD,2009,4
1 - Category 1 Truck,Ford,Flex AWD,2009,284
1 - Category 1 Truck,Ford,Flex AWD,2010,56
1 - Category 1 Truck,Ford,Flex FWD,2009,1068
1 - Category 1 Truck,Ford,Flex FWD,2010,444
1 - Category 1 Truck,Ford,Focus,2008,2
1 - Category 1 Truck,Ford,Focus FWD,2009,453
1 - Category 1 Truck,Ford,Focus FWD,2010,61
1 - Category 1 Truck,Ford,Freestar Wagon FWD,2007,1
1 - Category 1 Truck,Ford,Fusion AWD FFV,2010,1
1 - Category 1 Truck,Ford,Fusion FWD,2009,20
1 - Category 1 Truck,Ford,Fusion FWD,2010,184
1 - Category 1 Truck,Ford,Fusion FWD FFV,2010,8
1 - Category 1 Truck,Ford,Fusion Hybrid FWD,2010,53
1 - Category 1 Truck,Ford,Fusion S FWD,2010,5
1 - Category 1 Truck,Ford,Ranger Pickup 2WD,2007,38
1 - Category 1 Truck,Ford,Ranger Pickup 2WD,2008,39
1 - Category 1 Truck,Ford,Ranger Pickup 2WD,2009,6742
1 - Category 1 Truck,Ford,Ranger Pickup 4WD,2009,3
1 - Category 1 Truck,Ford,Taurus FWD,2008,3
1 - Category 1 Truck,Ford,Taurus FWD,2010,1
1 - Category 1 Truck,Ford,Taurus X AWD,2008,31
1 - Category 1 Truck,Ford,Taurus X AWD,2009,11
1 - Category 1 Truck,Ford,Taurus X FWD,2008,53
1 - Category 1 Truck,Ford,Taurus X FWD,2009,46
1 - Category 1 Truck,Ford,Transit Connect,2010,1786
1 - Category 1 Truck,Ford,UNLISTED,2009,1
1 - Category 1 Truck,Ford,UNLISTED,2010,11
1 - Category 1 Truck,GMC,Acadia AWD,2008,14
1 - Category 1 Truck,GMC,Acadia AWD,2009,583
1 - Category 1 Truck,GMC,Acadia AWD,2010,163
1 - Category 1 Truck,GMC,Acadia FWD,2007,2
1 - Category 1 Truck,GMC,Acadia FWD,2008,6
1 - Category 1 Truck,GMC,Acadia FWD,2009,1041
1 - Category 1 Truck,GMC,Acadia FWD,2010,275
1 - Category 1 Truck,GMC,Canyon 2WD,2007,3
1 - Category 1 Truck,GMC,Canyon 2WD,2008,32
1 - Category 1 Truck,GMC,Canyon 2WD,2009,1074
1 - Category 1 Truck,GMC,Canyon 2WD,2010,3
1 - Category 1 Truck,GMC,Canyon 4WD,2008,10
1 - Category 1 Truck,GMC,Canyon 4WD,2009,285
1 - Category 1 Truck,GMC,Canyon 4WD,2010,1
1 - Category 1 Truck,GMC,Canyon Cab Chassis Inc 4WD,2009,7
1 - Category 1 Truck,GMC,Canyon Crew Cab 2WD,2008,1
1 - Category 1 Truck,GMC,Canyon Crew Cab 2WD,2009,205
1 - Category 1 Truck,GMC,Canyon Crew Cab 4WD,2009,112
1 - Category 1 Truck,GMC,Canyon Crew Cab 4WD,2010,2
1 - Category 1 Truck,GMC,Savana 1500 2WD (cargo),2009,6
1 - Category 1 Truck,GMC,Sierra 15 Hybrid 2WD,2009,1
1 - Category 1 Truck,GMC,Sierra 15 Hybrid 4WD,2009,1
1 - Category 1 Truck,GMC,Sierra C15 2WD,2007,1
1 - Category 1 Truck,GMC,Sierra C15 2WD,2008,1
1 - Category 1 Truck,GMC,Sierra C15 2WD,2009,56
1 - Category 1 Truck,GMC,Sierra C15 2WD,2010,1
1 - Category 1 Truck,GMC,Sierra C15 XFE 2WD,2009,1
1 - Category 1 Truck,GMC,Sierra K15 4WD,2007,2
1 - Category 1 Truck,GMC,Sierra K15 4WD,2009,51
1 - Category 1 Truck,GMC,Terrain AWD,2010,2
1 - Category 1 Truck,GMC,Terrain FWD,2010,2
1 - Category 1 Truck,GMC,UNLISTED,2009,2
1 - Category 1 Truck,GMC,Yukon 1500 Hybrid 2WD,2008,1
1 - Category 1 Truck,Honda,Accord,2008,1
1 - Category 1 Truck,Honda,Accord,2009,187
1 - Category 1 Truck,Honda,Accord Coupe,2008,1
1 - Category 1 Truck,Honda,Accord Coupe,2009,51
1 - Category 1 Truck,Honda,CR-V 2WD,2007,20
1 - Category 1 Truck,Honda,CR-V 2WD,2008,43
1 - Category 1 Truck,Honda,CR-V 2WD,2009,7923
1 - Category 1 Truck,Honda,CR-V 4WD,2007,47
1 - Category 1 Truck,Honda,CR-V 4WD,2008,62
1 - Category 1 Truck,Honda,CR-V 4WD,2009,11355
1 - Category 1 Truck,Honda,Civic,2007,2
1 - Category 1 Truck,Honda,Civic,2008,6
1 - Category 1 Truck,Honda,Civic,2009,414
1 - Category 1 Truck,Honda,Civic CNG,2009,11
1 - Category 1 Truck,Honda,Civic Hybrid,2009,11
1 - Category 1 Truck,Honda,Element 2WD,2007,1
1 - Category 1 Truck,Honda,Element 2WD,2008,12
1 - Category 1 Truck,Honda,Element 2WD,2009,739
1 - Category 1 Truck,Honda,Element 4WD,2007,5
1 - Category 1 Truck,Honda,Element 4WD,2008,17
1 - Category 1 Truck,Honda,Element 4WD,2009,999
1 - Category 1 Truck,Honda,Fit,2007,1
1 - Category 1 Truck,Honda,Fit,2008,2
1 - Category 1 Truck,Honda,Fit,2009,211
1 - Category 1 Truck,Honda,Insight,2010,43
1 - Category 1 Truck,Honda,Odyssey,2008,25
1 - Category 1 Truck,Honda,Odyssey,2009,2406
1 - Category 1 Truck,Honda,Odyssey,2010,1284
1 - Category 1 Truck,Honda,Pilot 2WD,2008,3
1 - Category 1 Truck,Honda,Pilot 2WD,2009,251
1 - Category 1 Truck,Honda,Pilot 2WD,2010,790
1 - Category 1 Truck,Honda,Pilot 4WD,2009,626
1 - Category 1 Truck,Honda,Pilot 4WD,2010,1425
1 - Category 1 Truck,Honda,Ridgeline Truck 4WD,2009,11
1 - Category 1 Truck,Honda,UNLISTED,2009,2
1 - Category 1 Truck,Honda,UNLISTED,2010,1
1 - Category 1 Truck,Hummer,H3T 4WD,2009,1
1 - Category 1 Truck,Hyundai,Accent,2008,3
1 - Category 1 Truck,Hyundai,Accent,2009,121
1 - Category 1 Truck,Hyundai,Elantra,2007,3
1 - Category 1 Truck,Hyundai,Elantra,2008,3
1 - Category 1 Truck,Hyundai,Elantra,2009,240
1 - Category 1 Truck,Hyundai,Elantra Touring,2009,55
1 - Category 1 Truck,Hyundai,Elantra Touring,2010,5
1 - Category 1 Truck,Hyundai,Entourage,2008,20
1 - Category 1 Truck,Hyundai,Genesis Coupe,2010,5
1 - Category 1 Truck,Hyundai,Santa Fe 2WD,2007,12
1 - Category 1 Truck,Hyundai,Santa Fe 2WD,2008,86
1 - Category 1 Truck,Hyundai,Santa Fe 2WD,2009,5536
1 - Category 1 Truck,Hyundai,Santa Fe 4WD,2007,7
1 - Category 1 Truck,Hyundai,Santa Fe 4WD,2008,28
1 - Category 1 Truck,Hyundai,Santa Fe 4WD,2009,1791
1 - Category 1 Truck,Hyundai,Sonata,2008,1
1 - Category 1 Truck,Hyundai,Sonata,2009,124
1 - Category 1 Truck,Hyundai,Sonata,2010,7
1 - Category 1 Truck,Hyundai,Tucson 2WD,2007,3
1 - Category 1 Truck,Hyundai,Tucson 2WD,2008,67
1 - Category 1 Truck,Hyundai,Tucson 2WD,2009,1559
1 - Category 1 Truck,Hyundai,Tucson 4WD,2007,2
1 - Category 1 Truck,Hyundai,Tucson 4WD,2008,26
1 - Category 1 Truck,Hyundai,Tucson 4WD,2009,300
1 - Category 1 Truck,Hyundai,Veracruz 2WD,2008,18
1 - Category 1 Truck,Hyundai,Veracruz 2WD,2009,123
1 - Category 1 Truck,Hyundai,Veracruz 2WD,2010,32
1 - Category 1 Truck,Hyundai,Veracruz 4WD,2007,1
1 - Category 1 Truck,Hyundai,Veracruz 4WD,2008,12
1 - Category 1 Truck,Hyundai,Veracruz 4WD,2009,102
1 - Category 1 Truck,Hyundai,Veracruz 4WD,2010,16
1 - Category 1 Truck,Infiniti,FX35 AWD,2009,8
1 - Category 1 Truck,Infiniti,FX35 RWD,2009,11
1 - Category 1 Truck,Isuzu,i-370 Crew Cab 2WD,2008,3
1 - Category 1 Truck,Isuzu,i-370 Extended Cab 2WD,2008,1
1 - Category 1 Truck,Jeep,Commander 4WD,2009,1
1 - Category 1 Truck,Jeep,Compass 2WD,2007,6
1 - Category 1 Truck,Jeep,Compass 2WD,2008,102
1 - Category 1 Truck,Jeep,Compass 2WD,2009,1725
1 - Category 1 Truck,Jeep,Compass 2WD,2010,5
1 - Category 1 Truck,Jeep,Compass 4WD,2007,6
1 - Category 1 Truck,Jeep,Compass 4WD,2008,48
1 - Category 1 Truck,Jeep,Compass 4WD,2009,891
1 - Category 1 Truck,Jeep,Grand Cherokee 2WD,2008,4
1 - Category 1 Truck,Jeep,Grand Cherokee 2WD,2009,745
1 - Category 1 Truck,Jeep,Grand Cherokee 2WD,2010,2
1 - Category 1 Truck,Jeep,Grand Cherokee 4WD,2008,3
1 - Category 1 Truck,Jeep,Liberty 2WD,2008,27
1 - Category 1 Truck,Jeep,Liberty 2WD,2009,671
1 - Category 1 Truck,Jeep,Liberty 2WD,2010,1
1 - Category 1 Truck,Jeep,Liberty 4WD,2008,3
1 - Category 1 Truck,Jeep,Liberty 4WD,2009,6
1 - Category 1 Truck,Jeep,Patriot 2WD,2007,17
1 - Category 1 Truck,Jeep,Patriot 2WD,2008,63
1 - Category 1 Truck,Jeep,Patriot 2WD,2009,4301
1 - Category 1 Truck,Jeep,Patriot 2WD,2010,51
1 - Category 1 Truck,Jeep,Patriot 4WD,2007,3
1 - Category 1 Truck,Jeep,Patriot 4WD,2008,57
1 - Category 1 Truck,Jeep,Patriot 4WD,2009,2288
1 - Category 1 Truck,Jeep,UNLISTED,2010,11
1 - Category 1 Truck,Kia,Borrego 2WD,2009,194
1 - Category 1 Truck,Kia,Borrego 2WD,2010,5
1 - Category 1 Truck,Kia,Borrego 4WD,2009,201
1 - Category 1 Truck,Kia,Borrego 4WD,2010,9
1 - Category 1 Truck,Kia,Forte,2010,53
1 - Category 1 Truck,Kia,Optima,2008,1
1 - Category 1 Truck,Kia,Optima,2009,80
1 - Category 1 Truck,Kia,Optima,2010,2
1 - Category 1 Truck,Kia,Rio,2007,1
1 - Category 1 Truck,Kia,Rio,2008,2
1 - Category 1 Truck,Kia,Rio,2009,84
1 - Category 1 Truck,Kia,Rondo,2007,1
1 - Category 1 Truck,Kia,Rondo,2008,3
1 - Category 1 Truck,Kia,Rondo,2009,61
1 - Category 1 Truck,Kia,Rondo,2010,1
1 - Category 1 Truck,Kia,Sedona,2007,2
1 - Category 1 Truck,Kia,Sedona,2008,15
1 - Category 1 Truck,Kia,Sedona,2009,482
1 - Category 1 Truck,Kia,Sedona,2010,1
1 - Category 1 Truck,Kia,Sorento 2WD,2007,1
1 - Category 1 Truck,Kia,Sorento 2WD,2008,16
1 - Category 1 Truck,Kia,Sorento 2WD,2009,281
1 - Category 1 Truck,Kia,Sorento 4WD,2009,3
1 - Category 1 Truck,Kia,Soul,2010,260
1 - Category 1 Truck,Kia,Spectra,2008,1
1 - Category 1 Truck,Kia,Spectra,2009,98
1 - Category 1 Truck,Kia,Sportage 2WD,2007,12
1 - Category 1 Truck,Kia,Sportage 2WD,2008,27
1 - Category 1 Truck,Kia,Sportage 2WD,2009,4521
1 - Category 1 Truck,Kia,Sportage 2WD,2010,55
1 - Category 1 Truck,Kia,Sportage 4WD,2008,8
1 - Category 1 Truck,Kia,Sportage 4WD,2009,1965
1 - Category 1 Truck,Kia,Sportage 4WD,2010,22
1 - Category 1 Truck,Lexus,ES 350,2009,30
1 - Category 1 Truck,Lexus,ES 350,2010,1
1 - Category 1 Truck,Lexus,HS 250h,2010,2
1 - Category 1 Truck,Lexus,IS 250,2009,5
1 - Category 1 Truck,Lexus,IS 250 AWD,2009,2
1 - Category 1 Truck,Lexus,IS 250/IS 250C,2010,1
1 - Category 1 Truck,Lexus,RX 350 2WD,2009,1
1 - Category 1 Truck,Lexus,RX 350 2WD,2010,516
1 - Category 1 Truck,Lexus,RX 350 AWD,2010,815
1 - Category 1 Truck,Lexus,RX 400h 2WD,2008,3
1 - Category 1 Truck,Lexus,RX 400h 4WD,2008,2
1 - Category 1 Truck,Lexus,RX 450h,2010,112
1 - Category 1 Truck,Lexus,RX 450h AWD,2010,269
1 - Category 1 Truck,Lincoln,MKS FWD,2009,1
1 - Category 1 Truck,Lincoln,MKX AWD,2008,9
1 - Category 1 Truck,Lincoln,MKX AWD,2009,151
1 - Category 1 Truck,Lincoln,MKX AWD,2010,62
1 - Category 1 Truck,Lincoln,MKX FWD,2007,1
1 - Category 1 Truck,Lincoln,MKX FWD,2008,14
1 - Category 1 Truck,Lincoln,MKX FWD,2009,199
1 - Category 1 Truck,Lincoln,MKX FWD,2010,155
1 - Category 1 Truck,Lincoln,MKZ AWD,2009,1
1 - Category 1 Truck,MINI,Clubman,2009,9
1 - Category 1 Truck,MINI,Clubman S,2009,11
1 - Category 1 Truck,MINI,Cooper,2009,10
1 - Category 1 Truck,MINI,Cooper Convertible,2009,3
1 - Category 1 Truck,MINI,Cooper S,2009,17
1 - Category 1 Truck,MINI,Cooper S Convertible,2009,6
1 - Category 1 Truck,MINI,John Cooper Works Clubman,2009,1
1 - Category 1 Truck,Mazda,3,2007,1
1 - Category 1 Truck,Mazda,3,2009,23
1 - Category 1 Truck,Mazda,3,2010,180
1 - Category 1 Truck,Mazda,5,2008,19
1 - Category 1 Truck,Mazda,5,2009,2237
1 - Category 1 Truck,Mazda,6,2007,1
1 - Category 1 Truck,Mazda,6,2009,31
1 - Category 1 Truck,Mazda,6,2010,9
1 - Category 1 Truck,Mazda,B2300 2WD,2008,10
1 - Category 1 Truck,Mazda,B2300 2WD,2009,92
1 - Category 1 Truck,Mazda,CX-7 2WD,2008,2
1 - Category 1 Truck,Mazda,CX-7 2WD,2009,361
1 - Category 1 Truck,Mazda,CX-7 2WD,2010,725
1 - Category 1 Truck,Mazda,CX-7 4WD,2007,1
1 - Category 1 Truck,Mazda,CX-7 4WD,2008,5
1 - Category 1 Truck,Mazda,CX-7 4WD,2009,214
1 - Category 1 Truck,Mazda,CX-7 4WD,2010,41
1 - Category 1 Truck,Mazda,CX-9 2WD,2008,9
1 - Category 1 Truck,Mazda,CX-9 2WD,2009,355
1 - Category 1 Truck,Mazda,CX-9 2WD,2010,6
1 - Category 1 Truck,Mazda,CX-9 4WD,2009,1
1 - Category 1 Truck,Mazda,MX-5,2008,1
1 - Category 1 Truck,Mazda,MX-5,2009,6
1 - Category 1 Truck,Mazda,MX-5,2010,2
1 - Category 1 Truck,Mazda,Tribute 4WD,2008,20
1 - Category 1 Truck,Mazda,Tribute 4WD,2009,146
1 - Category 1 Truck,Mazda,Tribute 4WD,2010,6
1 - Category 1 Truck,Mazda,Tribute FWD,2008,7
1 - Category 1 Truck,Mazda,Tribute FWD,2009,778
1 - Category 1 Truck,Mazda,Tribute FWD,2010,9
1 - Category 1 Truck,Mazda,Tribute FWD FFV,2010,1
