book_name,date_ending,total_sales
The Hobbit,8/31/23,150
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",8/31/23,80
"The Two Towers (The Lord of the Rings, Part 2)",8/31/23,100
"The Return of the King (The Lord of the Rings, Part 3)",8/31/23,100
Foundation,8/31/23,60
Foundation and Empire,8/31/23,40
Second Foundation,8/31/23,35
Foundation's Edge,8/31/23,20
Foundation and Earth,8/31/23,0
The Hobbit,9/30/23,100
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",9/30/23,150
"The Two Towers (The Lord of the Rings, Part 2)",9/30/23,75
"The Return of the King (The Lord of the Rings, Part 3)",9/30/23,125
Foundation,9/30/23,100
Foundation and Empire,9/30/23,50
Second Foundation,9/30/23,40
Foundation's Edge,9/30/23,30
Foundation and Earth,9/30/23,20
The Hobbit,10/31/23,200
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",10/31/23,125
"The Two Towers (The Lord of the Rings, Part 2)",10/31/23,225
"The Return of the King (The Lord of the Rings, Part 3)",10/31/23,200
Foundation,10/31/23,75
Foundation and Empire,10/31/23,75
Second Foundation,10/31/23,50
Foundation's Edge,10/31/23,25
Foundation and Earth,10/31/23,25
The Hobbit,11/30/23,200
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",11/30/23,100
"The Two Towers (The Lord of the Rings, Part 2)",11/30/23,100
"The Return of the King (The Lord of the Rings, Part 3)",11/30/23,50
Foundation,11/30/23,50
Foundation and Empire,11/30/23,60
Second Foundation,11/30/23,100
Foundation's Edge,11/30/23,30
Foundation and Earth,11/30/23,30
The Hobbit,12/31/23,250
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",12/31/23,175
"The Two Towers (The Lord of the Rings, Part 2)",12/31/23,150
"The Return of the King (The Lord of the Rings, Part 3)",12/31/23,200
Foundation,12/31/23,125
Foundation and Empire,12/31/23,75
Second Foundation,12/31/23,50
Foundation's Edge,12/31/23,30
Foundation and Earth,12/31/23,20